1つ	ヒトツ
あい	アイ
あいかわらず	アイカワラズ
あいそ	アイソ
あいて	アイテ
あおさ	アオサ
あか	アカ
あかし	アカシ
あき地	アキチ
あぐら	アグラ
あけび	アケビ
あこがれ	アコガレ
あご	アゴ
あさつき	アサツキ
あし	アシ
あじ	アジ
あすこ	アスコ
あたり	アタリ
あだな	アダナ
あっけ	アッケ
あっぷる	アップル
あっ気	アッケ
あて	アテ
あと	アト
あとがき	アトガキ
あと足	アトアシ
あな	アナ
あのまま	アノママ
あの世	アノヨ
あばた	アバタ
あぶら汗	アブラアセ
あべこべ	アベコベ
あぼかど	アボカド
あまた	アマタ
あまなつ	アマナツ
あまり	アマリ
あめりかん	アメリカン
あやまり	アヤマリ
あら	アラ
あらし	アラシ
ありか	アリカ
ありがた味	アリガタミ
ありよう	アリヨウ
あるまいと	アルマイト
ある日	アルヒ
ある時	アルトキ
あれこれ	アレコレ
あれだけ	アレダケ
あん	アン
あんず	アンズ
あんみつ	アンミツ
あーもんど	アーモンド
い	イ
いいかえ	イイカエ
いおう	イオウ
いか	イカ
いかさま師	イカサマシ
いかん	イカン
いきさつ	イキサツ
いきれ	イキレ
いくさ	イクサ
いくつか	イクツカ
いくぶん	イクブン
いくら	イクラ
いざこざ	イザコザ
いしく	イシク
いじめ	イジメ
いす	イス
いそ	イソ
いぞく	イゾク
いただき	イタダキ
いたで	イタデ
いたん	イタン
いた事	イタコト
いちい	イチイ
いちいち	イチイチ
いちじく	イチジク
いちど	イチド
いちめん	イチメン
いっしょ	イッショ
いって	イッテ
いつ話	イツワ
いとこ	イトコ
いなせ	イナセ
いの一番	イノイチバン
いびき	イビキ
いぼく	イボク
いも	イモ
いやいや	イヤイヤ
いらっしゃい	イラッシャイ
いりこ	イリコ
いるか	イルカ
いろは	イロハ
い事	イジ
い人	イジン
い光	イコウ
い家	イカ
い掛	イカケ
い方	イホウ
い本	イホン
い者	イシャ
い色	イショク
い草	イグサ
い質	イシツ
い都	イト
い間	イマ
ういろう	ウイロウ
うごう	ウゴウ
うごき	ウゴキ
うしろで	ウシロデ
うすで	ウスデ
うそ	ウソ
うた	ウタ
うたた寝	ウタタネ
うち	ウチ
うちに	ウチニ
うって	ウッテ
うつ	ウツ
うつつ	ウツツ
うど	ウド
うどん	ウドン
うな	ウナ
うな丼	ウナドン
うねり	ウネリ
うふ	ウフ
うま	ウマ
うまい	ウマイ
うむ	ウム
うめ	ウメ
うり	ウリ
うれ	ウレ
うろ	ウロ
うわべ	ウワベ
う後	ウゴ
えさ	エサ
えぞ	エゾ
えだまめ	エダマメ
えつ	エツ
えて	エテ
えな	エナ
えび	エビ
えり	エリ
えんど	エンド
えんぴつ	エンピツ
おい	オイ
おいで	オイデ
おいど	オイド
おおざと	オオザト
おかき	オカキ
おかくれ	オカクレ
おかげ	オカゲ
おかず	オカズ
おかん	オカン
おがら	オガラ
おくび	オクビ
おくら	オクラ
おく方	オクガタ
おけら	オケラ
おし	オシ
おしまい	オシマイ
おじいさん	オジイサン
おじさん	オジサン
おちゃ	オチャ
おっかさん	オッカサン
おっくう	オックウ
おっぱい	オッパイ
おでき	オデキ
おでん	オデン
おとな	オトナ
おどけ	オドケ
おなか	オナカ
おなら	オナラ
おにぎり	オニギリ
おの	オノ
おは	オハ
おはぎ	オハギ
おばあさん	オバアサン
おひたし	オヒタシ
おひつ	オヒツ
おふくろ	オフクロ
おべっか	オベッカ
おぼえ	オボエ
おまかせ	オマカセ
おみやげ	オミヤゲ
おもしろ	オモシロ
おもちゃ	オモチャ
おもに	オモニ
おもり	オモリ
おやじ	オヤジ
おや御	オヤゴ
および	オヨビ
おり	オリ
おりーぶ	オリーブ
おれんじ	オレンジ
おんな	オンナ
お上	オカミ
お世辞	オセジ
お互	オタガイ
お互い	オタガイ
お伴	オトモ
お出で	オイデ
お勝手	オカッテ
お化け	オバケ
お古	オフル
お召	オメシ
お告げ	オツゲ
お国	オクニ
お好み焼き	オコノミヤキ
お婆さん	オバアサン
お嬢さん	オジョウサン
お宅	オタク
お客	オキャク
お客さま	オキャクサマ
お客様	オキャクサマ
お宮	オミヤ
お家	オイエ
お寺	オテラ
お巡り	オマワリ
お座敷	オザシキ
お慰	オナグサミ
お手本	オテホン
お敷	オシキ
お構い	オカマイ
お正月	オショウガツ
お母さん	オカアサン
お気	オキ
お湯	オユ
お澄し	オスマシ
お父さん	オトウサン
お父ちゃん	オトウチャン
お爺さん	オジイサン
お盆	オボン
お腰	オコシ
お腹	オナカ
お茶	オチャ
お茶漬け	オチャヅケ
お菓子	オカシ
お蔭	オカゲ
お蔭様	オカゲサマ
お袋	オフクロ
お許し	オユルシ
