女装男子	ジョソウダンシ
序奏とアレグロ	ジョソウトアレグロ
女装売春	ジョソウバイシュン
徐則臣	ジョソクジン
女装子	ジョソコ
じょそこ	ジョソコ
じょそんだんぴ	ジョソンダンピ
ジョソンダンピ	ジョソンダンピ
女尊男卑	ジョソンダンピ
ジョソール	ジョソール
ジョソール県	ジョソールケン
ジョゾ	ジョゾ
除隊	ジョタイ
女たい	ジョタイ
女タイ	ジョタイ
除たい	ジョタイ
じょ体	ジョタイ
ジョ体	ジョタイ
除タイ	ジョタイ
女体	ジョタイ
じょ隊	ジョタイ
ジョ隊	ジョタイ
女体棧橋	ジョタイサンバシ
徐度	ジョタク
徐達	ジョタツ
徐達墓	ジョタツボ
徐谷鳴	ジョタニナル
ジョタン	ジョタン
助炭	ジョタン
助タン	ジョタン
じょたん	ジョタン
助たん	ジョタン
ジョ炭	ジョタン
じょ炭	ジョタン
徐田	ジョダ
除地	ジョチ
ジョチ	ジョチ
ジョチ・ウルス	ジョチウルス
ジョチウルス	ジョチウルス
ジョチ・カサル	ジョチカサル
ジョチカサル	ジョチカサル
徐筑生	ジョチクセイ
徐知訓	ジョチクン
ジョチ家	ジョチケ
ジョチさん	ジョチサン
徐致靖	ジョチセイ
ジョチ・チャウルカン	ジョチチャウルカン
ジョチチャウルカン	ジョチチャウルカン
ジョチトルカク	ジョチトルカク
ジョチ・トルカク	ジョチトルカク
ジョ中	ジョチュウ
女チュウ	ジョチュウ
ジョチュウ	ジョチュウ
女中	ジョチュウ
女ちゅう	ジョチュウ
じょ中	ジョチュウ
じょちゅう	ジョチュウ
ジョチュウギク	ジョチュウギク
除虫菊	ジョチュウギク
除虫菊乳剤	ジョチュウギクニュウザイ
助長	ジョチョウ
ジョ長	ジョチョウ
助チョウ	ジョチョウ
助ちょう	ジョチョウ
じょちょう	ジョチョウ
じょ長	ジョチョウ
助長抜苗	ジョチョウバッピョウ
助長抜苗	ジョチョウバツビョウ
助長補短	ジョチョウホタン
ジョッカー	ジョッカー
ジョッキ	ジョッキ
じょっき	ジョッキ
