二本松市細野	ニホンマツシホソノ
二本松市堀越	ニホンマツシホリコシ
二本松市坊主滝	ニホンマツシボウズタキ
二本松市前田	ニホンマツシマエダ
二本松市前原	ニホンマツシマエハラ
二本松市松岡	ニホンマツシマツオカ
二本松市松林	ニホンマツシマツバヤシ
二本松市水上	ニホンマツシミズカミ
二本松市南トロミ	ニホンマツシミナミトロミ
二本松市南町	ニホンマツシミナミマチ
二本松市箕輪	ニホンマツシミノワ
二本松市三原町	ニホンマツシミハラチョウ
二本松市三保内	ニホンマツシミホウチ
二本松市宮沢	ニホンマツシミヤザワ
二本松市宮戸	ニホンマツシミヤト
二本松市宮本	ニホンマツシミヤモト
二本松市明主内	ニホンマツシミョウシュウチ
二本松市民	ニホンマツシミン
二本松市民会館	ニホンマツシミンカイカン
二本松市向作田	ニホンマツシムカイサクタ
二本松市向原	ニホンマツシムカイハラ
二本松市本町	ニホンマツシモトマチ
二本松市茂原	ニホンマツシモバラ
二本松市諸越谷	ニホンマツシモロコシガイ
二本松市薬師	ニホンマツシヤクシ
二本松市役所	ニホンマツシヤクショ
二本松市八坂町	ニホンマツシヤサカチョウ
二本松市社前	ニホンマツシヤシロマエ
二本松市休石	ニホンマツシヤスミイシ
二本松市休石原	ニホンマツシヤスミイシハラ
二本松市屋戸入	ニホンマツシヤドイリ
二本松市矢ノ戸	ニホンマツシヤノト
二本松市山田	ニホンマツシヤマダ
二本松市谷和子	ニホンマツシヤワコ
二本松市油井	ニホンマツシユイ
二本松市雄平台	ニホンマツシユウヘイダイ
二本松市湯川町	ニホンマツシユカワチョウ
二本松商工会議所	ニホンマツショウコウカイギショ
二本松少年隊	ニホンマツショウネンタイ
二本松市吉倉	ニホンマツシヨシクラ
二本松市米五町	ニホンマツシヨナゴチョウ
二本松市米沢	ニホンマツシヨナザワ
二本松市蓬田	ニホンマツシヨモギダ
二本松市立図書館	ニホンマツシリツトショカン
二本松市立二本松第三中学校	ニホンマツシリツニホンマツダイサンチュウガッコウ
二本松市立油井小学校	ニホンマツシリツユイショウガッコウ
二本松市若宮	ニホンマツシワカミヤ
二本松信用金庫	ニホンマツシンヨウキンコ
二本松城	ニホンマツジョウ
二本松神社	ニホンマツジンジャ
二本松町	ニホンマツチョウ
二本松提灯祭り	ニホンマツチョウチンマツリ
二本松の戦い	ニホンマツノタタカイ
二本松藩	ニホンマツハン
にほんまつばな	ニホンマツバナ
